insta,tiktok,facebook,sales
13528.1,0.0,0.0,9779.8
0.0,5349.65,2218.93,13245.19
0.0,4235.86,2046.96,12022.66
0.0,3562.21,0.0,8846.95
0.0,0.0,2187.29,9797.07
8045.44,4310.55,1992.98,13527.65
0.0,0.0,2253.02,9635.43
9697.29,4478.81,2042.3,15355.11
0.0,3156.93,1859.02,12199.37
0.0,4522.03,2135.99,11368.23
0.0,4520.34,0.0,8640.44
0.0,0.0,0.0,4960.26
11522.08,5698.46,0.0,12726.46
10243.35,0.0,0.0,11421.71
0.0,0.0,1839.37,10875.31
10667.35,0.0,1907.13,13048.08
0.0,0.0,2204.36,10775.86
9589.68,5160.93,1889.49,15013.62
10626.14,0.0,1922.63,14158.32
8291.81,4605.15,1897.94,15918.14
0.0,0.0,2036.79,11128.75
11307.24,0.0,1922.9,12170.36
0.0,0.0,1679.63,10134.7
8515.67,4006.88,0.0,11093.55
0.0,0.0,0.0,8170.63
0.0,0.0,0.0,6542.71
0.0,5049.49,2162.53,11325.8
0.0,0.0,2117.45,7793.24
13065.56,5643.31,1898.93,15010.94
0.0,3429.38,0.0,10634.31
0.0,4793.1,1898.5,11751.39
0.0,5880.18,0.0,9151.2
0.0,0.0,2499.44,9141.46
0.0,5387.28,0.0,7399.92
9304.18,2744.44,0.0,10893.16
0.0,3977.49,1743.09,11550.47
0.0,0.0,1979.13,8672.09
0.0,3343.28,1802.4,9427.22
0.0,0.0,1764.47,8036.91
9395.39,0.0,1771.96,11240.58
7902.89,0.0,2351.0,12386.83
7159.96,0.0,1973.4,12513.84
6587.46,5567.29,0.0,12235.08
13901.55,0.0,0.0,11895.78
0.0,0.0,0.0,10047.41
0.0,0.0,2144.01,9705.39
0.0,4708.16,0.0,8847.19
0.0,4238.51,2060.72,10379.07
0.0,5857.92,2154.54,11312.48
0.0,0.0,1667.68,8226.23
8209.07,6466.58,2089.64,13966.11
0.0,5852.55,2339.24,13460.32
8978.39,4401.35,1997.03,15742.61
0.0,0.0,2164.28,10440.98
0.0,0.0,2134.11,8535.49
0.0,0.0,1858.5,7801.58
0.0,3231.46,2007.95,9570.01
0.0,0.0,1686.6,7854.78
0.0,0.0,1909.74,8067.55
0.0,0.0,2053.14,7848.26
8655.08,4814.95,2144.62,14012.71
9280.89,4192.35,2004.92,16127.45
0.0,0.0,2144.0,11636.97
0.0,0.0,1779.42,8193.65
0.0,4690.89,0.0,9451.61
0.0,4766.53,2003.86,11454.02
0.0,0.0,0.0,5526.84
0.0,0.0,1957.17,7677.52
0.0,0.0,1900.2,8084.98
0.0,0.0,2004.27,7456.56
0.0,0.0,0.0,5365.18
0.0,0.0,2038.55,8134.16
0.0,5929.51,1926.99,10065.53
7530.35,0.0,1641.73,10878.94
0.0,2905.4,1988.28,11524.63
0.0,0.0,0.0,6563.85
8258.41,4869.89,1673.52,14165.57
8842.3,5093.95,1986.57,15624.56
0.0,0.0,2297.87,11305.04
0.0,0.0,2104.26,8245.57
0.0,0.0,2122.39,7676.64
0.0,0.0,0.0,5023.53
0.0,0.0,2095.38,8058.85
0.0,3583.09,2029.69,9902.44
0.0,0.0,2105.81,8058.05
0.0,0.0,2084.53,7498.36
12357.56,4028.9,0.0,12216.8
0.0,5314.82,0.0,11042.8
0.0,5821.59,0.0,10713.92
0.0,0.0,1989.98,9130.06
0.0,5800.56,0.0,7325.82
12444.89,5078.26,2262.49,15292.36
0.0,0.0,1828.21,11571.92
0.0,3840.58,1820.21,10464.3
0.0,0.0,2014.92,9229.31
0.0,5194.29,1784.58,9964.76
0.0,0.0,1915.07,8018.56
0.0,0.0,1834.01,7278.85
0.0,0.0,2282.23,8467.44
0.0,0.0,2157.16,7620.08
0.0,4217.37,0.0,7353.99
7304.48,4889.61,1921.76,12947.48
0.0,0.0,2188.18,10250.78
11938.79,0.0,2081.04,13096.57
0.0,0.0,2099.61,10843.3
0.0,0.0,1994.76,9702.32
9172.76,0.0,1662.35,11509.72
0.0,7021.04,0.0,10862.91
13845.88,0.0,1893.5,14894.3
0.0,2798.56,2129.01,12071.16
13735.12,5199.3,2202.37,16592.25
0.0,0.0,1868.41,12441.24
0.0,4482.48,2093.68,12279.8
0.0,0.0,0.0,6790.08
9463.99,4560.81,0.0,11909.22
0.0,5181.34,2336.38,13496.33
0.0,4497.18,1829.48,12297.33
0.0,0.0,0.0,6378.02
11228.16,4039.5,1997.77,14447.22
11844.41,0.0,2002.3,14199.63
0.0,0.0,0.0,8818.6
0.0,5251.48,1881.76,11735.1
10596.48,0.0,0.0,10804.46
0.0,0.0,2065.39,10008.84
8610.86,0.0,2066.01,13038.94
0.0,4290.27,2445.19,12997.57
9129.69,0.0,2274.2,13131.68
13698.53,5994.39,0.0,14703.9
11344.59,6319.14,2064.97,17668.34
0.0,0.0,2199.42,13267.43
0.0,0.0,0.0,8106.56
0.0,5496.0,1986.07,11182.44
0.0,5771.41,2010.31,10886.67
0.0,6029.44,2173.46,11160.91
0.0,0.0,1830.34,7160.31
11352.87,4575.68,1934.87,14452.13
0.0,5862.6,0.0,11189.87
9583.4,2344.38,2062.29,15012.92
0.0,0.0,0.0,8606.27
0.0,0.0,0.0,5991.27
0.0,0.0,2194.51,8239.06
0.0,0.0,0.0,5561.95
0.0,3970.06,2081.28,9797.26
11270.06,4650.06,1961.36,14673.81
0.0,0.0,2151.15,11598.35
11888.96,0.0,1892.17,13368.12
8174.36,7696.22,0.0,14428.14
0.0,4926.08,0.0,11172.84
0.0,0.0,0.0,6340.56
0.0,0.0,1769.21,8095.38
0.0,3981.96,1930.41,9268.66
0.0,0.0,0.0,4532.33
0.0,5382.73,1793.47,10982.62
0.0,0.0,1912.65,8447.64
0.0,6096.35,0.0,7617.05
0.0,0.0,1918.79,7610.02
0.0,0.0,1892.95,7849.88
0.0,0.0,2005.08,7104.61
0.0,0.0,2230.84,8447.4
0.0,0.0,2034.5,7885.48
0.0,3820.84,2004.21,9992.42
0.0,6301.43,2019.89,11322.95
11898.84,5895.26,2045.48,15977.27
10175.1,0.0,1796.65,14259.48
0.0,3667.79,1977.04,12886.05
0.0,3031.38,0.0,9131.86
0.0,4339.94,1725.85,10953.39
0.0,0.0,2173.13,8574.23
12376.06,5498.69,2216.28,14958.05
0.0,6047.97,1873.72,13543.21
11841.72,0.0,1951.73,13867.08
0.0,6742.67,1824.36,13854.92
0.0,0.0,2139.88,10895.22
0.0,0.0,1787.76,7854.4
0.0,0.0,1955.5,7405.54
0.0,4111.03,0.0,7705.26
0.0,5242.12,2010.19,10888.41
0.0,0.0,1641.15,7715.63
0.0,5936.74,2265.29,10581.72
0.0,6412.33,1807.08,11218.58
9292.01,0.0,2011.98,12789.7
0.0,0.0,1957.5,9923.23
0.0,2760.4,1847.58,9781.83
5553.19,0.0,1822.44,11570.62
11250.46,0.0,2187.28,12294.54
0.0,0.0,1894.87,9745.9
0.0,3720.31,2054.23,11918.41
0.0,4414.57,1839.7,10983.4
8520.87,0.0,0.0,8944.74
13086.03,0.0,2094.45,13131.49
7414.29,0.0,2186.08,14669.4
10534.1,0.0,1964.94,13843.33
0.0,5213.48,1715.62,14024.53
7663.81,0.0,2399.59,13315.79
0.0,4757.98,0.0,10237.24
0.0,0.0,1691.68,9030.17
11543.58,4615.35,2518.88,15904.11
0.0,4556.16,1919.19,12839.29
0.0,0.0,1707.65,9063.45
0.0,0.0,1863.31,7250.21
